Cource code,CTT002,,,,,
Student ID,Midterm score,Lap score,Final score,Bonus,Semester,Year
1753001,4,5,5,1,1,2017-2018
1753002,5,7,4,0,1,2017-2018
1753003,5,7,8,0,1,2017-2018
1753004,10,6,8,0,1,2017-2018
1753005,7,8,10,0,1,2017-2018
1753006,7,4,10,1,1,2017-2018
1753007,8,8,7,1,1,2017-2018
1753008,5,9,8,1,1,2017-2018
1753009,4,6,5,0,1,2017-2018
1753010,5,9,10,0,1,2017-2018
1753011,4,4,4,1,1,2017-2018
1753012,7,9,6,1,1,2017-2018
1753013,6,7,4,1,1,2017-2018
1753014,8,5,4,0,1,2017-2018
1753015,8,10,9,0,1,2017-2018
1753016,8,8,10,0,1,2017-2018
1753017,6,8,6,0,1,2017-2018
1753018,9,8,7,0,1,2017-2018
1753019,6,6,9,0,1,2017-2018
